Продукт,Калорийность,Белки,Жиры,Углеводы
Gold Роллтон,340 кКал,8 г,12 г,49 г
Бульон Домашний Грибной [Роллтон],85 кКал,"1,5 г",2 г,15 г
Бульон Домашний Куриный [Роллтон],82 кКал,"1,5 г",2 г,"14,6 г"
Бульон Домашний Мясной [Роллтон],91 кКал,1 г,"3,3 г","14,4 г"
Бульон Куриный Домашний [Роллтон],85 кКал,"1,5 г",2 г,15 г
Вермишель [Роллтон],450 кКал,9 г,21 г,57 г
Вермишель Быстрого Приготовления [Роллтон],480 кКал,"7,9 г","22,8 г","60,8 г"
Вермишель из Твердых Сортов Пшеницы [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Вермишель на Домашнем Бульоне с Говядиной [Роллтон],452 кКал,"8,7 г","21,1 г","56,7 г"
Вермишель на Домашнем Бульоне с Грибами [Роллтон],452 кКал,"8,7 г","21,1 г","56,7 г"
Вермишель на Домашнем Бульоне с Курицей [Роллтон],450 кКал,9 г,21 г,57 г
Вермишель с Сыром и Беконом [Роллтон],452 кКал,"8,7 г","21,1 г","56,7 г"
Витки [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Гнезда [Роллтон],340 кКал,11 г,2 г,70 г
Горячая Порция Лапша с Говядиной [Роллтон],390 кКал,7 г,17 г,53 г
Горячая Порция Лапша с Курицей [Роллтон],448 кКал,"8,8 г","20,7 г","56,7 г"
Горячая Порция с Курицей [Роллтон],400 кКал,"7,5 г",17 г,53 г
Грибная Лапша по-Домашнему [Роллтон],431 кКал,"7,7 г","19,5 г","56,1 г"
Жареный Картофель с Луком и Беконом [Роллтон],93 кКал,"2,2 г","2,3 г","14,6 г"
Картошка [Роллтон],377 кКал,"10,5 г","3,8 г","75,3 г"
Куриная Лапша по-Домашнему [Роллтон],320 кКал,6 г,14 г,43 г
Куриная Лапша по-Домашнему Острая [Роллтон],240 кКал,"5,7 г","17,2 г","40,7 г"
Лагман с Бараниной [Роллтон],308 кКал,"5,4 г","15,5 г","36,8 г"
Лазанья [Роллтон],326 кКал,10 г,"1,1 г","69,1 г"
Лапша [Роллтон],320 кКал,6 г,14 г,43 г
Лапша Быстрого Приготовления [Роллтон],452 кКал,"8,7 г","21,1 г","56,7 г"
Лапша Лагман с Бараниной [Роллтон],310 кКал,"5,5 г",16 г,37 г
Лапша Рисовая [Роллтон],332 кКал,8 г,0 г,75 г
Лапша с Говядиной [Роллтон],410 кКал,7 г,19 г,52 г
Лапша с Говядиной по-Домашнему [Роллтон],410 кКал,7 г,19 г,52 г
Лапша с Говядиной по-Домашнему Острая [Роллтон],340 кКал,6 г,17 г,41 г
Лапша с Курицей Цезарь [Роллтон],448 кКал,"8,8 г","20,7 г","56,7 г"
Лапша с Сыром и Беконом [Роллтон],450 кКал,9 г,21 г,57 г
Лапша Яичная для Бешбармака [Роллтон],326 кКал,10 г,"1,1 г","69,1 г"
Лапша Яичная Классическая [Роллтон],290 кКал,10 г,2 г,59 г
Макароны Гнезда [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Макароны Перья [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Макароны Рожки [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Макароны Спирали [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Перья Из Твёрдых Сортов Пшеницы [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Пюре Быстрого Приготовления [Роллтон],377 кКал,"10,5 г","3,8 г","75,3 г"
"Пюре Картофельное ""Готовить Легко"" [Роллтон]",330 кКал,"7,9 г","0,3 г","73,8 г"
Пюре Картофельное Жареные Лисички со Сметаной [Роллтон],383 кКал,"5,1 г","8,2 г","72,1 г"
Пюре Картофельное Классическое [Роллтон],330 кКал,"7,9 г","0,3 г","73,8 г"
Пюре Картофельное с Говядиной [Роллтон],347 кКал,"6,7 г","4,4 г","70,1 г"
Пюре Картофельное с Жареным Луком [Роллтон],390 кКал,"8,5 г",9 г,69 г
Пюре Картофельное с Куриным Вкусом [Роллтон],410 кКал,"8,5 г",11 г,68 г
Пюре Картофельное с Курицей [Роллтон],380 кКал,10 г,7 г,69 г
Пюре Картофельное с Мясным Вкусом [Роллтон],410 кКал,"8,5 г",11 г,68 г
Пюре Картофельное с Сухариками [Роллтон],420 кКал,"8,5 г",13 г,66 г
Пюре Картофельное со Вкусом Ветчины и Сыра [Роллтон],370 кКал,9 г,6 г,70 г
Пюре Картофельное со Вкусом Жареных Лисичек со Сметаной [Роллтон],410 кКал,8 г,"12,4 г","66,7 г"
Пюре Картофельное со Вкусом Томленой Курочки с Сыром [Роллтон],420 кКал,8 г,14 г,65 г
Пюре с Мясным Вкусом [Роллтон],377 кКал,"10,5 г","3,8 г","75,3 г"
Пюре с Сухариками [Роллтон],377 кКал,"10,5 г","3,8 г","75,3 г"
Ракушки [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Рожки [Роллтон],340 кКал,11 г,1 г,71 г
Соевый Соус [Роллтон],25 кКал,4 г,0 г,2 г
Спагетти [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Спагетти Яичные [Роллтон],340 кКал,13 г,1 г,70 г
Спирали [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Спирали с Томатами и Шпинатом [Роллтон],343 кКал,"10,4 г","1,1 г","71,2 г"
Трубки с Томатами и Шпинатом [Роллтон],343 кКал,"10,4 г","1,1 г","71,2 г"
Яичная Лапша [Роллтон],298 кКал,"10,4 г",2 г,"59,2 г"
